"filename", "language", "HTML", "TypeScript", "SCSS", "JSON", "comment", "blank", "total"
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/furniture.model.ts", "TypeScript", 0, 26, 0, 0, 0, 4, 30
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/furnitureGroupType.model.ts", "TypeScript", 0, 10, 0, 0, 0, 2, 12
"/home/peri/Workspaces/frontend8/src/app/core/models/EstateModels/furnitureType.model.ts", "TypeScript", 0, 10, 0, 0, 0, 2, 12
"/home/peri/Workspaces/frontend8/src/app/core/models/RequestModels/AcceptOfferReqMdl.model.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"/home/peri/Workspaces/frontend8/src/app/core/models/RequestModels/PostCodesByDataReqMdl.model.ts", "TypeScript", 0, 13, 0, 0, 0, 3, 16
"/home/peri/Workspaces/frontend8/src/app/core/models/RequestModels/RequestBase.model.ts", "TypeScript", 0, 8, 0, 0, 0, 2, 10
"/home/peri/Workspaces/frontend8/src/app/core/models/TransportationModels/Transportation.model.ts", "TypeScript", 0, 38, 0, 0, 0, 11, 49
"/home/peri/Workspaces/frontend8/src/app/core/models/TransportationModels/TransportationComment.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/TransportationModels/TransportationDocument.model.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"/home/peri/Workspaces/frontend8/src/app/core/models/TransportationModels/TransportationStatusType.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/TransportationModels/TransportationType.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/coreModels/PostCodeData.model.ts", "TypeScript", 0, 17, 0, 0, 0, 2, 19
"/home/peri/Workspaces/frontend8/src/app/core/models/coreModels/RequestBaseModel.model.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"/home/peri/Workspaces/frontend8/src/app/core/models/coreModels/SupportedPostCode.model.ts", "TypeScript", 0, 5, 0, 0, 0, 1, 6
"/home/peri/Workspaces/frontend8/src/app/core/models/coreModels/countryList.model.ts", "TypeScript", 0, 17, 0, 0, 0, 2, 19
"/home/peri/Workspaces/frontend8/src/app/core/models/coreModels/languageIdText.model.ts", "TypeScript", 0, 6, 0, 0, 0, 1, 7
"/home/peri/Workspaces/frontend8/src/app/core/models/coreModels/oakLanguage.model.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"/home/peri/Workspaces/frontend8/src/app/core/route-reusable-strategy.ts", "TypeScript", 0, 16, 0, 0, 5, 6, 27
"/home/peri/Workspaces/frontend8/src/app/core/services/country.service.spec.ts", "TypeScript", 0, 9, 0, 0, 0, 4, 13
"/home/peri/Workspaces/frontend8/src/app/core/services/country.service.ts", "TypeScript", 0, 91, 0, 0, 17, 17, 125
